"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PAK4",0.00507992712517404,0.380825609479001,0.311,0.241,1
"MORF4L2",0.00508102347827915,0.325967413028745,0.477,0.399,1
"THRAP3",0.00512014672598424,0.374751305743463,0.34,0.271,1
"DDX17",0.00524062240254425,0.373251475428821,0.366,0.302,1
"RAD23B",0.00524796786393871,0.290644797714617,0.374,0.3,1
"STK3",0.00526753370866125,-0.493425464899595,0.202,0.26,1
"ARF1",0.00528288346261101,0.350423198028636,0.484,0.404,1
"M6PR",0.00550803815707765,0.449493398776804,0.26,0.195,1
"RASA2",0.00556809818166632,0.397206844463946,0.281,0.212,1
"PSIP1",0.0057283650754588,0.293036251667062,0.442,0.364,1
"EIF2S3",0.00587272984840132,-0.258330237012343,0.401,0.461,1
"GLI2",0.00590988128909644,0.446407527508475,0.269,0.203,1
"CCDC47",0.00593221959422359,0.257313168478792,0.375,0.294,1
"TRIM28",0.00593233993032024,0.282421451496382,0.503,0.426,1
"GABPB1-AS1",0.00613220415235951,0.310402405874798,0.365,0.291,1
"SLC7A5",0.0061620339740513,0.277593340699066,0.613,0.543,1
"UBASH3B",0.00618620274123245,-0.506656020118943,0.214,0.272,1
"NRP1",0.00619004084426236,0.275659123838033,0.478,0.409,1
"DUSP23",0.00620203396644846,-0.379785104911081,0.206,0.269,1
"RFC3",0.00622890523427747,0.309541216418367,0.358,0.283,1
"GPCPD1",0.00624757394043357,-0.303322741810501,0.217,0.283,1
"GCC2",0.00625049878234013,-0.427243742079921,0.24,0.303,1
"RBBP6",0.00632774673903456,0.408352833229675,0.278,0.212,1
"ROCK2",0.00660262705719841,0.390706576631845,0.385,0.324,1
"COP1",0.00671748887927143,-0.419810816661584,0.221,0.28,1
"SENP6",0.00673423110474817,0.453637100917435,0.27,0.209,1
"TAX1BP1",0.00681994767748328,0.295152138143332,0.554,0.498,1
"MSI2",0.00685022790065795,-0.345200060794824,0.349,0.404,1
"DAZAP2",0.00712705757921258,0.275711352783967,0.429,0.35,1
"AHCY",0.00727746561639067,-0.337674501326448,0.346,0.402,1
"SCAND1",0.00731088304070314,-0.344224241236722,0.459,0.511,1
"UBE2Z",0.00733677331490105,0.431529432445305,0.262,0.201,1
"RHOC",0.00743489124768754,0.271106051330702,0.438,0.361,1
"GALNT1",0.00751198353282934,0.489481432906134,0.256,0.195,1
"AP2M1",0.00753814727835049,0.415503245522358,0.323,0.26,1
"BCLAF1",0.00765185192065436,0.287149239660708,0.39,0.316,1
"EBNA1BP2",0.00766699539768934,-0.443928300313236,0.234,0.291,1
"DYNC1LI2",0.0076901082094123,0.36687359825692,0.294,0.228,1
"TGM2",0.00780377021705884,0.411929930762811,0.353,0.285,1
"MYH9",0.00789958160760131,0.454288570714558,0.334,0.271,1
"GOPC",0.00793865373397964,0.379850613058927,0.281,0.218,1
"SMAD2",0.00797026323655973,0.273459786607582,0.33,0.259,1
"FKBP1A",0.00804449062502338,0.313581858925675,0.394,0.328,1
"ABCC2",0.00812251505848749,-0.294676932707208,0.491,0.548,1
